43,43,43,43,43,43
30,30,30,30,30,30
45,45,45,45,45,46
36,36,36,36,36,40
52,52,52,52,52,53
33,33,33,33,33,35
39,39,39,39,39,43
49,49,49,49,49,51
53,53,53,53,53,54
43,43,43,43,43,43
45,45,45,45,45,48
43,43,43,43,43,43
43,43,43,43,30,33
30,30,30,30,30,32
45,45,45,45,46,49
36,36,36,36,40,38
52,52,52,52,53,54
33,33,33,33,35,38
39,39,39,39,43,46
49,49,49,49,51,51
53,53,53,53,54,52
43,43,43,43,43,43
45,45,45,45,48,47
43,43,43,43,43,44
43,43,43,30,33,37
30,30,30,30,30,28
45,45,45,46,49,48
36,36,36,40,38,39
52,52,52,53,54,57
33,33,33,35,38,41
39,39,39,43,46,48
49,49,49,51,51,55
53,53,53,54,52,50
43,43,43,43,43,45
45,45,45,48,47,47
43,43,43,43,44,48
43,43,30,33,37,39
30,30,30,30,28,32
45,45,46,49,30,30
36,36,40,38,39,40
52,52,53,54,57,55
33,33,35,38,41,45
39,39,43,46,48,52
49,49,51,51,55,57
53,53,54,52,50,53
43,43,43,43,45,49
45,45,48,47,47,46
43,43,43,44,48,46
43,30,33,37,39,40
30,30,30,28,32,31
45,46,49,30,30,33
36,40,38,39,30,34
52,53,54,57,55,55
33,35,38,41,45,46
39,43,46,48,52,52
49,51,51,55,57,56
53,54,52,50,53,53
43,43,43,45,49,50
45,48,47,47,46,46
43,43,44,48,46,48
30,33,37,39,40,44
30,30,28,32,31,31
46,49,30,30,33,36
40,38,39,30,34,34
53,54,57,55,30,30
35,38,41,45,45,44
43,46,48,52,52,52
51,51,55,57,56,55
54,52,50,53,53,54
43,43,45,49,50,49
48,47,47,46,46,44
43,44,48,46,48,46
33,37,39,40,44,46
30,28,32,31,31,31
49,30,30,33,36,39
38,39,30,34,34,33
54,57,55,30,30,34
38,41,45,45,30,33
46,48,52,52,52,52
51,55,57,56,55,53
52,50,53,53,54,53
43,45,49,50,49,49
47,47,46,46,44,47
44,48,46,48,46,44
37,39,40,44,46,48
28,32,31,31,31,33
30,30,33,36,39,37
39,30,34,34,33,34
57,55,30,30,34,38
41,45,45,30,33,33
48,52,52,52,30,32
55,57,56,55,55,54
50,53,53,54,53,51
45,49,50,49,49,51
47,46,46,44,47,46
48,46,48,46,44,45
39,40,44,46,48,47
32,31,31,31,33,32
30,33,36,39,37,41
30,34,34,33,34,38
55,30,30,34,38,37
45,45,30,33,33,35
52,52,52,30,32,33
57,56,55,55,30,28
53,53,54,53,53,54
49,50,49,49,51,55
46,46,44,47,46,48
46,48,46,44,45,44
40,44,46,48,47,45
31,31,31,33,32,31
33,36,39,37,41,41
34,34,33,34,38,41
30,30,34,38,37,35
45,30,33,33,35,38
52,52,30,32,33,33
56,55,55,30,28,31
53,54,53,53,30,31
50,49,49,51,51,49
46,44,47,46,46,45
48,46,44,45,44,42
44,46,48,47,45,47
31,31,33,32,31,34
36,39,37,41,41,40
34,33,34,38,41,42
30,34,38,37,35,39
30,33,33,35,38,39
52,30,32,33,33,37
55,55,30,28,31,32
54,53,53,30,31,29
49,49,51,51,30,31
44,47,46,46,46,46
46,44,45,44,42,46
46,48,47,45,47,46
31,33,32,31,34,33
39,37,41,41,40,40
33,34,38,41,42,43
34,38,37,35,39,39
33,33,35,38,39,40
30,32,33,33,37,36
55,30,28,31,32,33
53,53,30,31,29,27
49,51,51,30,31,33
47,46,46,46,30,30
44,45,44,42,42,41
48,47,45,47,46,49
33,32,31,34,33,32
37,41,41,40,40,42
34,38,41,42,43,43
38,37,35,39,39,43
33,35,38,39,40,42
32,33,33,37,36,36
30,28,31,32,33,34
53,30,31,29,27,31
51,51,30,31,33,36
46,46,46,30,30,32
45,44,42,42,30,33
47,45,47,46,30,32
32,31,34,33,32,35
41,41,40,40,42,44
38,41,42,43,43,44
37,35,39,39,43,45
35,38,39,40,42,44
33,33,37,36,36,36
28,31,32,33,34,37
30,31,29,27,31,33
51,30,31,33,36,39
46,46,30,30,32,30
44,42,42,30,33,31
45,47,46,30,32,32
31,34,33,32,30,32
41,40,40,42,44,45
41,42,43,43,44,44
35,39,39,43,45,45
38,39,40,42,44,46
33,37,36,36,36,37
31,32,33,34,37,41
31,29,27,31,33,33
30,31,33,36,39,38
46,30,30,32,30,31
42,42,30,33,31,30
47,46,30,32,32,30
34,33,32,30,32,30
40,40,42,44,30,32
42,43,43,44,44,44
39,39,43,45,45,47
39,40,42,44,46,46
37,36,36,36,37,41
32,33,34,37,41,45
29,27,31,33,33,34
31,33,36,39,38,39
30,30,32,30,31,29
42,30,33,31,30,28
46,30,32,32,30,32
33,32,30,32,30,34
40,42,44,30,32,35
43,43,44,44,30,33
39,43,45,45,47,46
40,42,44,46,46,49
36,36,36,37,41,43
33,34,37,41,45,48
27,31,33,33,34,38
33,36,39,38,39,39
30,32,30,31,29,30
30,33,31,30,28,32
30,32,32,30,32,36
32,30,32,30,34,36
42,44,30,32,35,33
43,44,44,30,33,34
43,45,45,47,30,28
42,44,46,46,49,50
36,36,37,41,43,47
34,37,41,45,48,51
31,33,33,34,38,36
36,39,38,39,39,41
32,30,31,29,30,28
33,31,30,28,32,32
32,32,30,32,36,40
30,32,30,34,36,35
44,30,32,35,33,36
